question,answer
"okay, she's not fat. so what's the problem with her?",who said there is a problem with her?
did you get free food?,i ate free cheese and meat every day.
"the pants are fine, but the pocket has a huge hole in it.",you shouldn't carry your keys and pens in your pocket.
so maybe he'll go to jail forever?,i sure hope so.
"sure, what did you want to do?",maybe we can go see a movie or something.
how about this table?,"no, it's too close to the front door."
that sounds wonderful.,except we can't afford it!
i think about twenty-five.,hmm. i have only one best friend.
i appreciate that.,"talent is a great thing, i wish i had one."
"i found a spot, but someone cut in and took it from me.",did you yell at them?
what about that new game show?,which one?
how's it going?,i'm doing well. how about you?
you shouldn't lie in the sun for too long.,i want to get a tan. i don't want to look so pale.
did you wipe your feet? ,"yes, of course i wiped my feet."
how do you know?,because they always do.
he spoke to them and made them feel better.,did he speak to every family that lost a soldier?
"but even if my candidate wins, he'll break his promises.",that's true. they promise anything just so they get elected.
will you look at this form?,are you having problems with it?
i'm guessing that she's going to give me my invite today or tomorrow.,"you're probably right, do you intend on going to the party?"
"yes, he made the home run popular.","everybody loved him, all over the nation."
i meet too many jerks.,i agree.
what do you mean?,"i mean, it's just coffee."
such as?,"yesterday, a woman complained about a cell phone she bought on ebay."
i love to eat the hot dogs.,i hope we'll see a home run.
is this table okay?,"no, it's too close to the kitchen door."
then he didn't bother to apologize.,that's rude.
"i have to say, my favorite movie is superbad.",is that right? why?
what have you been doing?,i've been working too.
it might as well be me.,that's what everyone says.
you should stop drinking coffee.,look at these marks on my arms.
did you really?,"seriously, i am so excited."
is that a tv show?,yes. it's on every afternoon.
paper is flying everywhere.,this wind is dangerous for drivers.
i don't even know why we need to fix it.,in case we have visitors.
i don't know. i just woke up.,why don't you look outside?
what was your problem?,my stomach was bothering me.
what happened at the restaurant?,"we had a $40 meal, and he left a $1 tip!"
"what if you fall while you're holding the light bulb, and it breaks and pieces go into your eyes?",i never thought about that.
i'm terrible at math.,"well, i need some help."
i'm not sure yet.,"well, did you want to go see a movie with me?"
i didn't have to. it's been in business for 60 years.,so what's the problem?
i want to go to the ball game.,is there a game tonight?
sure.,thank you.
i hope we'll see a home run.,i hope we'll catch a foul ball.
it's so much trouble.,it's common sense.
last month they told us about a mouse in a restaurant.,the weatherman tells us the temperature in every town.
would you like anything for your stomach?,i took something earlier.
"especially if it's the same work, over and over.",but that's what most people do.
